
> gameday-map@0.1.0 reprocess:cache
> node --import tsx scripts/reprocessCache.ts

los-angeles-argentina.json: 9 venues, 8 kept country tag, 1 stripped to no-flag
los-angeles-australia.json: 3 venues, 2 kept country tag, 1 stripped to no-flag
los-angeles-austria.json: 3 venues, 2 kept country tag, 1 stripped to no-flag
los-angeles-belgium.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
los-angeles-bosnia-and-herzegovina.json: 2 venues, 2 kept country tag, 0 stripped to no-flag
los-angeles-brazil.json: 10 venues, 10 kept country tag, 0 stripped to no-flag
los-angeles-c-te-d-ivoire.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
los-angeles-cabo-verde.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
los-angeles-canada.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
los-angeles-colombia.json: 10 venues, 4 kept country tag, 6 stripped to no-flag
los-angeles-congo-dr.json: 3 venues, 3 kept country tag, 0 stripped to no-flag
los-angeles-croatia.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
los-angeles-cura-ao.json: 4 venues, 4 kept country tag, 0 stripped to no-flag
los-angeles-czechia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
los-angeles-ecuador.json: 2 venues, 2 kept country tag, 0 stripped to no-flag
