
> gameday-map@0.1.0 reprocess:cache
> node --import tsx scripts/reprocessCache.ts

guadalajara-japan.json: 17 venues, 4 kept country tag, 13 stripped to no-flag
guadalajara-jordan.json: 13 venues, 0 kept country tag, 13 stripped to no-flag
guadalajara-korea-republic.json: 17 venues, 5 kept country tag, 12 stripped to no-flag
guadalajara-mexico.json: 15 venues, 4 kept country tag, 11 stripped to no-flag
guadalajara-morocco.json: 16 venues, 0 kept country tag, 16 stripped to no-flag
guadalajara-netherlands.json: 14 venues, 3 kept country tag, 11 stripped to no-flag
guadalajara-new-zealand.json: 15 venues, 0 kept country tag, 15 stripped to no-flag
guadalajara-norway.json: 15 venues, 0 kept country tag, 15 stripped to no-flag
guadalajara-panama.json: 13 venues, 0 kept country tag, 13 stripped to no-flag
guadalajara-paraguay.json: 15 venues, 0 kept country tag, 15 stripped to no-flag
guadalajara-portugal.json: 15 venues, 0 kept country tag, 15 stripped to no-flag
guadalajara-qatar.json: 15 venues, 0 kept country tag, 15 stripped to no-flag
guadalajara-saudi-arabia.json: 14 venues, 0 kept country tag, 14 stripped to no-flag
guadalajara-scotland.json: 15 venues, 0 kept country tag, 15 stripped to no-flag
guadalajara-senegal.json: 16 venues, 0 kept country tag, 16 stripped to no-flag
guadalajara-south-africa.json: 14 venues, 0 kept country tag, 14 stripped to no-flag
guadalajara-spain.json: 14 venues, 1 kept country tag, 13 stripped to no-flag
guadalajara-sweden.json: 14 venues, 0 kept country tag, 14 stripped to no-flag
guadalajara-switzerland.json: 15 venues, 0 kept country tag, 15 stripped to no-flag
guadalajara-t-rkiye.json: 17 venues, 0 kept country tag, 17 stripped to no-flag
guadalajara-tunisia.json: 16 venues, 0 kept country tag, 16 stripped to no-flag
guadalajara-uruguay.json: 17 venues, 0 kept country tag, 17 stripped to no-flag
guadalajara-usa.json: 17 venues, 0 kept country tag, 17 stripped to no-flag
guadalajara-uzbekistan.json: 16 venues, 0 kept country tag, 16 stripped to no-flag
houston-algeria.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-argentina.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-australia.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-austria.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-belgium.json: 10 venues, 1 kept country tag, 9 stripped to no-flag
houston-bosnia-and-herzegovina.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-brazil.json: 10 venues, 5 kept country tag, 5 stripped to no-flag
houston-c-te-d-ivoire.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-cabo-verde.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-canada.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-colombia.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-congo-dr.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-croatia.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-cura-ao.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-czechia.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-ecuador.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-egypt.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-england.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-france.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-germany.json: 10 venues, 1 kept country tag, 9 stripped to no-flag
houston-ghana.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-haiti.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-ir-iran.json: 10 venues, 1 kept country tag, 9 stripped to no-flag
houston-iraq.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-japan.json: 10 venues, 1 kept country tag, 9 stripped to no-flag
houston-jordan.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-korea-republic.json: 10 venues, 1 kept country tag, 9 stripped to no-flag
houston-mexico.json: 10 venues, 4 kept country tag, 6 stripped to no-flag
houston-morocco.json: 10 venues, 2 kept country tag, 8 stripped to no-flag
houston-netherlands.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-new-zealand.json: 1 venues, 0 kept country tag, 1 stripped to no-flag
houston-norway.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-panama.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-paraguay.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-portugal.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-qatar.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-saudi-arabia.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-scotland.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-senegal.json: 10 venues, 1 kept country tag, 9 stripped to no-flag
houston-south-africa.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-spain.json: 10 venues, 1 kept country tag, 9 stripped to no-flag
houston-sweden.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-switzerland.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-t-rkiye.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-tunisia.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-uruguay.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-usa.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
houston-uzbekistan.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-algeria.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-argentina.json: 10 venues, 2 kept country tag, 8 stripped to no-flag
